T3 Mechanical - Role-Based Access Control (RBAC) Matrix,,,,
,,,,
,,,,
Scope Document Role,System Role,Code Reference,,
User,Technician,"Field technicians, basic employees",,
Administrative,Manager,"Operational managers, supervisors",,
Officer,Executive,"Company executives, owners",,
,,,,
1. CORE PLATFORM FEATURES,,,,
1.1 Dashboard Access,,,,
Feature,Technician,Manager,Executive,Notes
View Dashboard,✅ View (Different layout),✅ View,✅ View,All roles access dashboard
Recent Updates,Limited (assigned),✅ Full,✅ Full,Technicians see only assigned jobs
New Bids,❌ None,✅ View,✅ View,Cannot create/edit
Recent Jobs,✅ Assigned Only,✅ All,✅ All,Limited to assigned
Completed Jobs,✅ Own,✅ All,✅ All,
Jobs Needing Invoicing,❌ None,✅ View,✅ View,
Outstanding Payments,❌ None,👁️ Limited,✅ Full,Managers see reports only
Days Overdue,❌ None,✅ View,✅ View,
Revenue Chart,❌ None,👁️ View,✅ Full,"Manager sees trends, no details"
Active Jobs Chart,❌ None,✅ View,✅ View,
Performance Overview,❌ None,👁️ Team,✅ Full,"Managers see team, not individual salaries"
Priority Jobs Table,✅ Assigned,✅ All,✅ All,
Today's Dispatch,✅ Own,✅ All,✅ All,
,,,,
UI Elements Visible:,,,,
,,,,
"Technician: My Tasks card, My Jobs card, My Timesheets link, Dispatch card",,,,
"Manager: All cards + Team Performance, Job Pipeline, Invoice Queue",,,,
"Executive: All cards + Financial Summary, Profit/Loss, Cash Flow",,,,
,,,,
1.2 User Management System,,,,
Feature,Technician,Manager,Executive,Notes
View Employees,❌ None,✅ All,✅ All,Technicians see team members only
View Own Profile,✅ Full,✅ Full,✅ Full,
Edit Own Profile,✅ Basic Info,✅ Basic Info,✅ Full,Cannot edit employment details
View Other Profiles,❌ None,✅ Nessesory info,✅ Full,Managers cannot view bank info and payouts
Edit Other Profiles,❌ None,✅ Basic,✅ Full,Managers cannot edit pay/employee status
Personal Information,,,,
Update Contact Info,✅,✅,✅ Full,
Update Emergency Contact,✅,✅,✅ Full,
Update Bank Details,❌ None,❌ None,✅ Full,Manager cannot view/edit
View Pay Rate,✅ Own,✅ Own,✅ All,Managers cannot see salaries
Employment Management,,,,
Add/Remove Users,❌ None,✅ (Add Tech or Manager),✅ Full (Add + Remove),Executive only
Assign Roles,❌ None,❌ None,✅ Full,Executive only
Update Employment Status,❌ None,❌ None,✅ Full,Active/Terminated
Update Pay Rate,❌ None,❌ None,✅ Full,Executive only
Activity Logs,,,,
View Own Activity,✅ View,✅ View,✅ View,
View Others Activity,❌ None,✅ Department,✅ All,
,,,,
UI Elements/Buttons:,,,,
,,,,
"Technician: ""Edit My Profile"", ""Upload Document"", ""Update Contact"", ""View My Activity""",,,,
"Manager: + ""View Team"", ""View Team Activity"", ""Add User (Technician or Manager)""",,,,
"Executive: + ""Add User (All 3 roles)"",""Edit Employment"", ""Update Pay"", ""Assign Roles"", ""Terminate User""",,,,
,,,,
1.3 Performance & Compliance Module,,,,
Feature,Technician,Manager,Executive,Notes
Performance Reviews,,,,
View Own Reviews,✅ View,✅ View,✅ View,
Conduct Reviews,❌ None,✅ Own Department,✅ All,
Rate Performance,❌ None,✅ Own Department,✅ All,
Incident Reports,,,,
View Incident Reports,✅ Own,✅ All,✅ All,
